school,website
KING’S COLLEGE LAGOS,https://kingscollegelagos.sch.ng/
FGC LAGOS,https://fgclagos.sch.ng/
QUEEN’S COLLEGE LAGOS,https://queenscollegelagos.sch.ng/
FSTC YABA,https://fstcyaba.sch.ng/
FGC ODOGBOLU,https://fgcodogbolu.sch.ng/
FGGC SHAGAMU,https://www.fggcsagamu.sch.ng/
FSTC IJEBU MUSHIN,https://fstcijebuimusin.sch.ng/
FGC IDOANI,https://fgcidoani.sch.ng/
FGGC AKURE,https://fggcakure.sch.ng/
FSTC IKARE-AKOKO,https://fstcikare.sch.ng/
FGC IKIRUN,https://fgcikirun.sch.ng/
FGGC IPETUMODU,https://fggcipetumodu.sch.ng/
FSTC ILESA,https://fstcilesa.sch.ng/
FGC OGBOMOSO,https://fgcogbomoso.sch.ng/
FGGC OYO,https://fggcoyo.sch.ng/
FSTC IGANGAN,https://fstcigangan.sch.ng/
FGC IKOLE-EKITI,https://fgcikoleekiti.sch.ng/
FGGC EFON-ALAYE,https://fggcefonalaaye.sch.ng/
FSTC USI-EKITI,https://fstcusiekiti.sch.ng/
FGC IKOT-EKPENE,https://fgcikotekpene.sch.ng/
FGGC IKOT-OBIO-ITONG,https://fggcikotobioitong.sch.ng/
FSTC UYO,https://fstcuyo.sch.ng/
FGC IKOM,https://fgcikom.sch.ng/
FGGC CALABAR,https://fggccalabar.sch.ng/
FSC OGOJA,https://fscogoja.sch.ng/
FGC WARRI,https://fgcwarri.sch.ng/
FGGC IBUSA,https://fggcibusa.sch.ng/
FGC IBILLO,https://fgcibillo.sch.ng/
FGGC BENIN,https://fggcbenin.sch.ng/
FSTC UROMI,https://fstcuromi.sch.ng/
FGC PORT-HARCOURT,https://fgcportharcourt.sch.ng/
FGGC ABULOMA,https://fggcabuloma.sch.ng/
FSTC AHOADA,https://fstcahoada.sch.ng/
FGC ODI,https://fgcodi.sch.ng/
FGGC IMIRINGI,https://fggcimiringi.sch.ng/
FSTC TUNGBO,https://fstc.tungbo.sch.ng/
FGGC UMUAHIA,https://fggcumuahia.sch.ng/
FGC OHAFIA,https://fgcohafia.sch.ng/
FSTC OHANSO,https://fstcohanso.sch.ng/
FGC NISE,https://fgcniseonline.sch.ng/
FGGC ONITSHA,https://fggconitshang.sch.ng/
FSTC AWKA,https://fstcawka.sch.ng/
FGC ENUGU,https://fgcenugu.sch.ng/
FGGC LEJJA,https://fggclejja.sch.ng/
FGC OKIGWE,https://fgcokigwe.sch.ng/
FGGC OWERRI,https://fggcowerri.sch.ng/
FSTC OGUTA,
FGC OKPOSI,https://fgcokposi.sch.ng/
FGGC EZZAMGBO,https://fggcezzamgbo.sch.ng/
FSTC AMUZU,https://fstc.tungbo.sch.ng/
FGC VANDEIKYA,https://fgcvandeikya.sch.ng/
FGGC GBOKO,https://fggcgboko.sch.ng/
FGC OTOBI,https://fgcotobi.sch.ng/
FSTC OTUKPO,https://fstcotukpo.sch.ng/
FGC UGWOLAWO,https://fgcugwolawo.sch.ng/
FGGC KABBA,https://fggckabba.sch.ng/
FSTC OGUGU,https://fstcogugu.sch.ng/
FGC ILORIN,https://fgcilorin.sch.ng/
FGGC OMU-ARAN,https://fggcomuaran.sch.ng/
FGC MINNA,https://fgcminna.sch.ng/
FGGC BIDA,https://fggcbida.sch.ng/
FSTC SHIRORO,https://fstckutashiroro.sch.ng/
FGC JOS,https://fgcjos.sch.ng/
FGGC LANGTANG,https://fggclangtang.sch.ng/
FGC KWALI,https://fgckwali.sch.ng/
