,state,school
0,Abia,FGGC UMUAHIA (GIRLS ONLY)
1,Abia,FGC OHAFIA (BOYS & GIRLS)
2,Abia,FSTC OHANSO (BOYS & GIRLS)
4,Anambra,FGC NISE (BOYS & GIRLS)
5,Anambra,FGGC ONITSHA (GIRLS ONLY)
6,Anambra,FSTC AWKA (BOYS & GIRLS)
8,Enugu,FGC ENUGU (BOYS & GIRLS)
9,Enugu,FGGC LEJJA (GIRLS ONLY)
11,Imo,FGC OKIGWE (BOYS & GIRLS)
12,Imo,FGGC OWERRI (GIRLS ONLY)
13,Imo,FSTC OGUTA (BOYS & GIRLS)
15,Ebonyi,FGC OKPOSI (BOYS & GIRLS)
16,Ebonyi,FGGC EZZAMGBO (GIRLS ONLY)
17,Ebonyi,FSTC AMUZU (BOYS & GIRLS)
19,Adamawa,FGC GANYE (BOYS & GIRLS)
20,Adamawa,FGGC YOLA (GIRLS ONLY)
21,Adamawa,FSTC MICHIKA (BOYS & GIRLS)
23,Bauchi,FGC AZARE (BOYS & GIRLS)
24,Bauchi,FGGC BAUCHI (GIRLS ONLY)
26,Borno,FGC MAIDUGURI (BOYS & GIRLS)
27,Borno,FGGC MONGUNO (GIRLS ONLY)
28,Borno,FSTC LASSA (BOYS & GIRLS)
30,Taraba,FGC WUKARI (BOYS & GIRLS)
31,Taraba,FGGC JALINGO (GIRLS ONLY)
32,Taraba,FSTC JALINGO (BOYS & GIRLS)
34,Yobe,FGC BUNI-YADI (BOYS & GIRLS)
35,Yobe,FGGC POTISKUM (GIRLS ONLY)
37,Gombe,FGC BILIRI (BOYS & GIRLS)
38,Gombe,FGGC BAJOGA (GIRLS ONLY)
40,Akwa-ibom,FGC IKOT-EKPENE (BOYS & GIRLS)
41,Akwa-ibom,FGGC IKOT-OBIO-ITONG (GIRLS ONLY)
42,Akwa-ibom,FSTC UYO (GIRLS ONLY)
44,Cross- river,FGC IKOM (BOYS & GIRLS)
45,Cross- river,FGGC CALABAR (GIRLS ONLY)
47,Delta,FGC WARRI (BOYS & GIRLS)
48,Delta,FGGC IBUSA (GIRLS ONLY)
50,Edo,FGC IBILLO (BOYS & GIRLS)
51,Edo,FGGC BENIN (GIRLS ONLY)
52,Edo,FSTC UROMI (BOYS & GIRLS)
54,Rivers,FGC PORT-HARCOURT (BOYS & GIRLS)
55,Rivers,FGGC ABULOMA (GIRLS ONLY)
56,Rivers,FSTC AHOADA (BOYS & GIRLS)
58,Bayelsa,FGC ODI (BOYS & GIRLS)
59,Bayelsa,FGGC IMIRINGI (GIRLS ONLY)
60,Bayelsa,FSTC TUNGBO (BOYS & GIRLS)
62,Benue,FGC VANDEIKYA (BOYS & GIRLS)
63,Benue,FGGC GBOKO (GIRLS ONLY)
64,Benue,FGC OTOBI (BOYS & GIRLS)
65,Benue,FSTC OTUKPO (BOYS & GIRLS)
67,Kogi,FGC UGWOLAWO (BOYS & GIRLS)
68,Kogi,FGGC KABBA (GIRLS ONLY)
69,Kogi,FSTC OGUGU (BOYS & GIRLS)
71,Kwara,FGC ILORIN (BOYS & GIRLS)
72,Kwara,FGGC OMU-ARAN (GIRLS ONLY)
74,Niger,FGC MINNA (BOYS & GIRLS)
75,Niger,FGGC BIDA (GIRLS ONLY)
76,Niger,FGC NEW-BUSSA (BOYS & GIRLS)
